train,valid
34.896,42.200
54.751,50.720
63.458,65.340
68.873,69.600
71.491,72.300
73.896,71.900
75.349,72.720
76.751,75.160
78.287,74.440
79.069,75.300
80.133,77.280
80.838,78.260
81.109,79.760
82.458,78.060
82.727,77.300
83.109,79.420
83.782,79.380
83.749,81.060
84.273,80.440
85.067,80.900
85.293,81.240
85.680,81.340
85.762,83.660
86.076,81.520
86.589,82.920
86.569,82.220
86.800,83.680
87.109,80.240
87.347,82.860
87.669,82.200
87.858,82.740
88.229,84.600
88.198,84.320
88.073,83.520
88.589,85.100
88.753,84.960
88.933,83.780
89.149,83.420
89.153,85.460
89.504,85.180
89.478,84.560
89.604,84.400
89.967,85.280
90.009,83.940
90.102,85.280
90.438,84.780
90.269,84.800
90.491,86.280
90.544,87.040
90.976,85.620
