train,valid
37.600,40.200
58.022,58.500
62.493,60.700
66.493,65.740
68.962,62.900
71.544,70.140
74.327,74.340
75.878,74.960
78.193,74.140
80.031,77.820
81.858,80.320
81.409,78.720
81.407,78.240
80.822,78.580
81.096,76.820
81.111,76.860
82.284,78.440
83.047,81.080
83.924,80.320
85.144,82.440
86.400,83.360
86.518,84.280
86.158,82.680
85.873,82.880
85.671,80.700
85.653,80.440
85.884,81.540
86.602,82.780
87.451,81.600
88.040,83.960
88.642,84.440
88.860,84.760
88.651,83.340
88.518,83.880
88.520,81.740
88.340,82.600
88.656,83.580
89.049,84.900
89.362,84.060
89.596,85.260
90.158,85.540
90.309,85.560
90.087,84.580
90.104,85.100
90.127,85.460
89.956,83.780
90.171,83.900
90.573,85.620
90.762,85.640
91.198,85.500
