train,valid
34.727,35.040
52.867,50.240
61.762,61.860
66.716,61.920
69.402,65.180
71.618,69.320
73.756,68.720
75.513,75.420
77.118,75.260
78.529,74.640
79.353,74.440
80.000,77.260
80.496,78.760
81.553,77.360
81.733,79.300
82.358,78.700
82.947,78.520
82.942,79.940
83.029,78.220
83.691,80.180
84.227,79.600
84.342,80.040
84.333,82.060
84.718,81.240
84.818,80.980
84.918,81.320
85.353,81.700
85.422,79.400
85.220,82.380
85.587,79.560
85.980,80.900
85.847,82.040
85.733,81.040
85.629,81.000
86.016,84.080
85.887,82.900
86.264,81.000
86.244,81.340
86.469,81.200
86.622,80.820
86.553,81.600
86.429,80.000
86.853,82.640
86.651,81.440
86.927,81.440
86.936,80.160
86.913,83.980
86.809,83.140
87.004,82.840
87.342,82.680
