train,valid
35.122,41.480
54.940,50.360
63.547,65.360
68.727,68.360
71.680,70.200
76.889,76.920
78.100,76.940
78.847,78.600
79.471,77.820
79.829,78.680
80.767,78.820
80.700,79.820
80.544,79.660
80.924,79.580
80.691,79.640
80.942,79.840
81.189,79.060
80.749,80.200
80.791,79.740
81.007,80.000
80.949,80.300
81.264,79.760
81.004,79.700
80.858,79.620
81.204,79.260
81.047,79.880
80.844,79.940
81.024,78.520
80.778,78.500
80.944,79.080
80.938,79.620
81.198,80.000
80.960,79.560
80.938,80.080
80.842,80.180
81.124,79.820
81.056,79.320
81.004,79.920
80.951,79.420
81.138,79.580
80.889,79.540
80.982,79.620
81.064,79.920
80.776,79.840
80.960,80.100
81.062,79.920
81.069,79.440
80.847,80.280
81.109,79.900
81.193,80.080
